date,amount,description,class_,id
2019-01-17,-1.41,tfl travel ch,2,0
2019-02-06,-23.83,curtains up,2,1
2019-01-08,-14.5,co-op group food,2,2
2019-02-03,-8.52,boots 631,1,3
2019-01-05,-15.57,sumup  *proceed cl,2,4
2019-01-19,39.18,arepa & co,2,5
2019-01-22,-5.78,iz *parmstar,0,6
2019-01-07,-6.0,sainsburys s mkts,0,7
2019-02-06,-2.72,yorkshire grey,2,8
2019-01-29,-9.08,iz *the hive,2,9
2019-02-06,-14.88,spotify xy480u480o480,1,10
2019-02-11,-16.22,gb25  spitalfie,1,11
2019-02-08,-2.56,simply fresh,2,12
2019-02-12,-4.63,caffe nero,0,13
2019-01-02,-1.78,gb663  oxford st,2,14
2019-01-22,-27.64,uber eats xy618u618o618 he,0,15
2019-02-01,-52.95,lnk po roman road,0,16
2019-02-11,4.69,netflix.com,0,17
2019-01-20,-11.65,waitrose,2,18
2019-02-02,-17.75,boots 759,0,19
2019-01-26,-2.75,lidl uk  london,1,20
2019-01-29,31.34,lidl uk london,2,21
2019-01-04,-0.82,three-topup(web),2,22
2019-01-29,-8.07,downland produce,1,23
2019-01-26,-4.79,la bouche,0,24
2019-01-28,-1443.06,revolut*445*,1,25
2019-01-30,-2.19,the horn of plenty,2,26
2019-01-03,-2.08,the camel,2,27
2019-01-17,-25.19,taro restaurant,2,28
2019-02-10,-2.63,aint nothin but,1,29
2019-02-09,-28.54,giraffe concepts l,1,30
2019-01-06,-21.47,bunbun bun,0,31
2019-01-12,-5.83,hoxton cabin,0,32
2019-01-30,-18.56,lnk 0-0 cambri,2,33
2019-02-03,-13.49,greater anglia - s,1,34
2019-02-11,-229.96,amazon.co.uk,1,35
2019-02-08,-35.27,amzn mktp uk,1,36
2019-01-06,-7.0,sainsburys s/mkts,0,37
2019-01-04,-1.97,tfx international,0,38
2019-01-05,-24.35,uber eats rotzz he,1,39
2019-01-23,-24.58,franco manca,1,40
2019-02-07,-8.4,red lion,0,41
2019-01-27,-124.57,moneyfarm,1,42
2019-01-29,-73.76,boots787,0,43
2019-02-05,-0.46,boots 133,0,44
2019-02-10,-175.86,easyjet     xy400u400o400,0,45
2019-02-05,-3.28,the draft house bi,0,46
2019-01-02,-25.66,lnk costcutter480,0,47
2019-01-21,-15.37,iz *kansas smitty?,0,48
2019-01-25,-39.57,ikea limited,1,49
2019-02-10,-11.44,martello hall,2,50
2019-01-14,-4.1,boundary rooftop,1,51
2019-02-13,-30.54,easyjet     9,1,52
2019-01-26,-1.93,boots989,0,53
2019-01-23,-17.54,prince albert,0,54
2019-01-14,-6.19,tezenis oxford cir,1,55
2019-02-12,-67.0,marks&spencer plc,2,56
2019-02-10,-1.6,uniqlo (europe) lt,1,57
2019-01-30,-102.48,monzo top up,1,58
2019-02-11,-21.62,mudmee thai restau,1,59
2019-01-20,-15.27,trade,1,60
2019-02-02,-69.91,sager and wilde,1,61
2019-01-23,-14.1,well & bucket,0,62
2019-01-24,-4.75,loafing,0,63
2019-01-01,-52.05,eurowings   37,1,64
2019-01-01,-17.52,leongs legend,1,65
2019-02-10,-7.02,ryanair     42,2,66
2019-01-20,-8.77,thai room (london),0,67
2019-01-07,-3.35,pavilion bakery,1,68
2019-01-13,-55.31,lnk angel convenie,0,69
2019-01-19,-2.86,the dundee,2,70
2019-01-28,-27.6,barbican cntre box,0,71
2019-01-04,-11.48,tesco store 776,1,72
2019-02-06,-9.13,monohon ramen,0,73
2019-01-11,-6.83,manna restaurant,1,74
2019-01-22,-4.43,the haggerston,0,75
2019-01-07,-8.77,starbucks,1,76
2019-01-26,-0.99,caffe nero 229 lad,2,77
2019-01-09,-1.87,iz *nkora,2,78
2019-02-03,-3.92,polpo soho,1,79
2019-02-06,-9.01,the royal oak,0,80
2019-01-12,-0.66,tesco stores-856,0,81
